Epoch, TOF_1, TOF_2, TOF_3, Accel, Yaw, Pitch, Roll, LDR 
2313941985,21,22,66,235,98,90,90,673
2313941984,22,23,61,234,98,89,90,560
2313941985,20,22,65,236,98,89,90,635
2313941984,23,27,65,235,98,88,90,685
2313941985,23,30,67,234,98,88,90,688
2313941984,40,95,67,236,98,89,89,667
2313941985,41,91,64,233,98,89,90,567
2313941992,21,24,61,231,98,89,90,683
2313941993,41,92,66,232,98,88,90,666
2313942004,43,83,65,234,98,88,89,615
2313942005,39,84,71,233,98,88,89,607
2313942004,41,80,69,239,98,88,90,622
2313942005,42,80,61,237,98,89,90,657
2313942004,42,88,64,234,98,89,90,647
2313942005,46,94,67,234,98,88,90,669
2313942004,43,83,65,234,98,89,90,624
2313942005,42,82,62,234,98,89,90,554
2313942012,41,86,65,239,98,89,90,660
2313942013,45,93,61,234,98,88,90,679
2313942004,41,97,61,234,98,88,90,653
2313942005,41,96,67,234,98,88,90,659
2313942004,43,95,64,234,98,88,90,582
2313942005,45,95,62,234,98,88,90,643
2313942004,21,24,59,234,98,88,90,675
2313942005,46,101,58,230,99,88,90,600
2313942004,27,95,61,233,99,88,90,658
2313942005,25,30,64,232,99,88,89,594
2313942012,36,93,62,238,99,89,90,655
2313942013,28,32,62,234,99,88,90,672
2313942024,26,58,63,236,99,88,90,615
2313942025,29,45,63,237,99,89,90,629
2313942024,25,67,64,234,99,88,90,587
2313942025,26,83,64,235,99,88,90,655
2313942024,26,81,65,236,99,88,90,577
2313942025,32,89,66,235,105,73,100,649
2313942024,30,93,64,233,103,82,94,659
2313942025,25,85,62,235,103,87,91,592
2313942032,26,81,64,235,103,90,89,681
2313942033,26,74,65,235,103,91,88,599
2313942024,27,29,58,237,103,92,88,675
2313942025,25,90,64,236,103,91,88,635
2313942024,28,97,60,237,103,91,88,686
2313942025,46,98,62,235,103,90,88,631
2313942024,47,93,58,234,103,90,89,542
2313942025,31,95,63,234,103,90,89,662
2313942024,29,39,65,232,103,90,89,651
2313942025,31,38,59,235,103,90,89,666
2313942032,54,100,60,237,103,89,89,682
2313942033,48,93,64,234,103,89,90,688
2313941984,45,97,63,235,103,89,90,668
2313941985,46,95,66,235,103,89,90,670
